imp_type,pp_coef,random_state,data_split,dataset
gini,0.9700715396346211,0,3,wine
mutual_info,0.9700715396346211,0,3,wine
f_test,0.8813838550247116,0,3,wine
pimp,0.9700715396346211,0,3,wine
shap,0.9700715396346211,0,3,wine
pearson,0.8559121273085313,0,3,wine
spearman,0.8559121273085313,0,3,wine
kendall,0.8559121273085313,0,3,wine
pps,0.5319418522752853,0,3,wine
gini,0.9700715396346211,1,3,wine
mutual_info,0.9700715396346211,1,3,wine
f_test,0.9406919275123556,1,3,wine
pimp,0.9700715396346211,1,3,wine
shap,0.9700715396346211,1,3,wine
pearson,0.8879736408566721,1,3,wine
spearman,0.8879736408566721,1,3,wine
kendall,0.8879736408566721,1,3,wine
pps,0.5297984702793427,1,3,wine
gini,0.9700715396346211,2,3,wine
mutual_info,0.9700715396346211,2,3,wine
f_test,0.9105782254491929,2,3,wine
pimp,1.0,2,3,wine
shap,0.9105782254491929,2,3,wine
pearson,0.7924217462932454,2,3,wine
spearman,0.7924217462932454,2,3,wine
kendall,0.7924217462932454,2,3,wine
pps,0.43515352722174444,2,3,wine
gini,0.9700715396346211,3,3,wine
mutual_info,0.9700715396346211,3,3,wine
f_test,0.9124436648436474,3,3,wine
pimp,0.9700715396346211,3,3,wine
shap,0.9700715396346211,3,3,wine
pearson,0.8553436401807828,3,3,wine
spearman,0.8553436401807828,3,3,wine
kendall,0.8553436401807828,3,3,wine
pps,0.46879878106082107,3,3,wine
gini,1.0,4,3,wine
mutual_info,1.0,4,3,wine
f_test,0.9406919275123556,4,3,wine
pimp,0.9209225700164744,4,3,wine
shap,1.0,4,3,wine
pearson,0.8830313014827016,4,3,wine
spearman,0.8830313014827016,4,3,wine
kendall,0.8830313014827016,4,3,wine
pps,0.43515352722174444,4,3,wine
gini,1.0,5,3,wine
mutual_info,1.0,5,3,wine
f_test,0.9124436648436474,5,3,wine
pimp,1.0,5,3,wine
shap,1.0,5,3,wine
pearson,0.8553436401807828,5,3,wine
spearman,0.8553436401807828,5,3,wine
kendall,0.8553436401807828,5,3,wine
pps,0.5018319361087598,5,3,wine
gini,0.942215088282504,6,3,wine
mutual_info,0.942215088282504,6,3,wine
f_test,0.9136791373773651,6,3,wine
pimp,0.942215088282504,6,3,wine
shap,0.942215088282504,6,3,wine
pearson,0.8009630818619582,6,3,wine
spearman,0.8009630818619582,6,3,wine
kendall,0.8009630818619582,6,3,wine
pps,0.48117955098185666,6,3,wine
gini,0.942215088282504,7,3,wine
mutual_info,0.942215088282504,7,3,wine
f_test,0.8862420482383008,7,3,wine
pimp,0.942215088282504,7,3,wine
shap,0.942215088282504,7,3,wine
pearson,0.8307817006448459,7,3,wine
spearman,0.8307817006448459,7,3,wine
kendall,0.8307817006448459,7,3,wine
pps,0.453210721668871,7,3,wine
gini,0.9416225511570162,8,3,wine
mutual_info,0.9416225511570162,8,3,wine
f_test,0.8813838550247116,8,3,wine
pimp,0.9416225511570162,8,3,wine
shap,0.9416225511570162,8,3,wine
pearson,0.8553436401807828,8,3,wine
spearman,0.8553436401807828,8,3,wine
kendall,0.8553436401807828,8,3,wine
pps,0.43515352722174444,8,3,wine
gini,0.9712178935095259,9,3,wine
mutual_info,0.9712178935095259,9,3,wine
f_test,0.9406919275123556,9,3,wine
pimp,0.9209225700164744,9,3,wine
shap,0.9712178935095259,9,3,wine
pearson,0.8237232289950576,9,3,wine
spearman,0.8237232289950576,9,3,wine
kendall,0.8237232289950576,9,3,wine
pps,0.43599776576460425,9,3,wine
gini,1.0,0,4,wine
mutual_info,0.8640198015247537,0,4,wine
f_test,0.8605184801040977,0,4,wine
pimp,1.0,0,4,wine
shap,1.0,0,4,wine
pearson,0.7343523819492672,0,4,wine
spearman,0.7343523819492672,0,4,wine
kendall,0.7343523819492672,0,4,wine
pps,0.4979199128562361,0,4,wine
gini,1.0282180653137747,1,4,wine
mutual_info,0.862174585150183,1,4,wine
f_test,0.9423559641895143,1,4,wine
pimp,1.0282180653137747,1,4,wine
shap,0.9423559641895143,1,4,wine
pearson,0.7550743854264376,1,4,wine
spearman,0.7550743854264376,1,4,wine
kendall,0.7550743854264376,1,4,wine
pps,0.4788164466257093,1,4,wine
gini,0.9723879179688372,2,4,wine
mutual_info,0.8385133603804935,2,4,wine
f_test,0.889755843514857,2,4,wine
pimp,0.860696826299235,2,4,wine
shap,0.889755843514857,2,4,wine
pearson,0.7288544503613942,2,4,wine
spearman,0.7288544503613942,2,4,wine
kendall,0.7288544503613942,2,4,wine
pps,0.438606569005023,2,4,wine
gini,1.0,3,4,wine
mutual_info,0.8950438518488022,3,4,wine
f_test,0.8605184801040977,3,4,wine
pimp,1.0,3,4,wine
shap,1.0,3,4,wine
pearson,0.7030367153416225,3,4,wine
spearman,0.7030367153416225,3,4,wine
kendall,0.7030367153416225,3,4,wine
pps,0.4680192902806105,3,4,wine
gini,1.0,4,4,wine
mutual_info,0.7826124696884607,4,4,wine
f_test,0.9164942690458776,4,4,wine
pimp,0.9187661062142448,4,4,wine
shap,1.0,4,4,wine
pearson,0.7030367153416225,4,4,wine
spearman,0.7030367153416225,4,4,wine
kendall,0.7030367153416225,4,4,wine
pps,0.4103956214290273,4,4,wine
gini,1.0,5,4,wine
mutual_info,0.8385133603804935,5,4,wine
f_test,0.8605184801040977,5,4,wine
pimp,1.0,5,4,wine
shap,1.0,5,4,wine
pearson,0.7343523819492672,5,4,wine
spearman,0.7343523819492672,5,4,wine
kendall,0.7343523819492672,5,4,wine
pps,0.5260157073120738,5,4,wine
gini,1.0,6,4,wine
mutual_info,0.8385133603804935,6,4,wine
f_test,0.9166265839648892,6,4,wine
pimp,1.0,6,4,wine
shap,1.0,6,4,wine
pearson,0.6989774048621112,6,4,wine
spearman,0.6989774048621112,6,4,wine
kendall,0.6989774048621112,6,4,wine
pps,0.4691885226396552,6,4,wine
gini,1.0,7,4,wine
mutual_info,0.8385133603804935,7,4,wine
f_test,0.889755843514857,7,4,wine
pimp,1.0,7,4,wine
shap,1.0,7,4,wine
pearson,0.7288544503613942,7,4,wine
spearman,0.7288544503613942,7,4,wine
kendall,0.7288544503613942,7,4,wine
pps,0.4417283239445605,7,4,wine
gini,1.0,8,4,wine
mutual_info,0.8385133603804935,8,4,wine
f_test,0.889755843514857,8,4,wine
pimp,1.0,8,4,wine
shap,1.0,8,4,wine
pearson,0.7288544503613942,8,4,wine
spearman,0.7288544503613942,8,4,wine
kendall,0.7288544503613942,8,4,wine
pps,0.5248200203648875,8,4,wine
gini,1.0,9,4,wine
mutual_info,0.8385133603804935,9,4,wine
f_test,0.9164942690458776,9,4,wine
pimp,1.0,9,4,wine
shap,1.0,9,4,wine
pearson,0.7030367153416225,9,4,wine
spearman,0.7030367153416225,9,4,wine
kendall,0.7030367153416225,9,4,wine
pps,0.5284037239123264,9,4,wine
gini,0.8285887061134103,0,5,wine
mutual_info,0.968887590614685,0,5,wine
f_test,0.9388718286179691,0,5,wine
pimp,0.8283738087470173,0,5,wine
shap,0.8283738087470173,0,5,wine
pearson,0.8227178945740161,0,5,wine
spearman,0.8227178945740161,0,5,wine
kendall,0.8227178945740161,0,5,wine
pps,0.5030543788775574,0,5,wine
gini,0.9411892713926744,1,5,wine
mutual_info,0.9981689967412093,1,5,wine
f_test,0.9101577720176554,1,5,wine
pimp,0.7914546145802036,1,5,wine
shap,0.8571428571428571,1,5,wine
pearson,0.8548675071100457,1,5,wine
spearman,0.8548675071100457,1,5,wine
kendall,0.8548675071100457,1,5,wine
pps,0.56959659242452,1,5,wine
gini,0.8285887061134103,2,5,wine
mutual_info,0.9141646752332858,2,5,wine
f_test,0.9693015983581525,2,5,wine
pimp,0.8017615936405023,2,5,wine
shap,0.8817733990147782,2,5,wine
pearson,0.8227178945740161,2,5,wine
spearman,0.8227178945740161,2,5,wine
kendall,0.8227178945740161,2,5,wine
pps,0.537354844808601,2,5,wine
gini,0.9136717058853241,3,5,wine
mutual_info,0.9693015983581525,3,5,wine
f_test,0.9691616798081911,3,5,wine
pimp,0.8276542019414602,3,5,wine
shap,0.8283738087470173,3,5,wine
pearson,0.8868898903507895,3,5,wine
spearman,0.8868898903507895,3,5,wine
kendall,0.8868898903507895,3,5,wine
pps,0.534967528464716,3,5,wine
gini,0.8611513413175765,4,5,wine
mutual_info,0.9398042319326543,4,5,wine
f_test,0.9388718286179691,4,5,wine
pimp,0.8226600985221674,4,5,wine
shap,0.9136717058853241,4,5,wine
pearson,0.8868898903507895,4,5,wine
spearman,0.8868898903507895,4,5,wine
kendall,0.8868898903507895,4,5,wine
pps,0.4758002127282616,4,5,wine
gini,0.8611513413175765,5,5,wine
mutual_info,0.9395438356035264,5,5,wine
f_test,0.9388718286179691,5,5,wine
pimp,0.8866995073891625,5,5,wine
shap,0.8866995073891625,5,5,wine
pearson,0.8542997138071855,5,5,wine
spearman,0.8542997138071855,5,5,wine
kendall,0.8542997138071855,5,5,wine
pps,0.56959659242452,5,5,wine
gini,0.8285887061134103,6,5,wine
mutual_info,0.9158522453308173,6,5,wine
f_test,0.9388718286179691,6,5,wine
pimp,0.8283738087470173,6,5,wine
shap,0.9158522453308173,6,5,wine
pearson,0.8548675071100457,6,5,wine
spearman,0.8548675071100457,6,5,wine
kendall,0.8548675071100457,6,5,wine
pps,0.537354844808601,6,5,wine
gini,0.9141646752332858,7,5,wine
mutual_info,0.968887590614685,7,5,wine
f_test,1.0,7,5,wine
pimp,0.8571428571428571,7,5,wine
shap,0.8542997138071855,7,5,wine
pearson,0.8542997138071855,7,5,wine
spearman,0.8542997138071855,7,5,wine
kendall,0.8542997138071855,7,5,wine
pps,0.56959659242452,7,5,wine
gini,0.8611513413175765,8,5,wine
mutual_info,0.9981689967412093,8,5,wine
f_test,0.9391772386026502,8,5,wine
pimp,0.8838716269774342,8,5,wine
shap,0.854619315558804,8,5,wine
pearson,0.8227178945740161,8,5,wine
spearman,0.8227178945740161,8,5,wine
kendall,0.8227178945740161,8,5,wine
pps,0.5089294997402516,8,5,wine
gini,0.8285887061134103,9,5,wine
mutual_info,0.9106427977151383,9,5,wine
f_test,0.9691616798081911,9,5,wine
pimp,0.8626524674551401,9,5,wine
