imp_type,random_state,data_split,dataset,max_dropped
gini,5,3,boston,0.3846153846153846
mutual_info,5,3,boston,0.5384615384615384
f_test,5,3,boston,0.5384615384615384
pimp,5,3,boston,0.3846153846153846
shap,5,3,boston,0.15384615384615385
pearson,5,3,boston,0.5384615384615384
spearman,5,3,boston,0.5384615384615384
kendall,5,3,boston,0.0
pps,5,3,boston,0.0
gini,6,3,boston,0.3846153846153846
mutual_info,6,3,boston,0.6153846153846154
f_test,6,3,boston,0.5384615384615384
pimp,6,3,boston,0.3846153846153846
shap,6,3,boston,0.5384615384615384
pearson,6,3,boston,0.5384615384615384
spearman,6,3,boston,0.5384615384615384
kendall,6,3,boston,0.3846153846153846
pps,6,3,boston,0.0
gini,7,3,boston,0.3846153846153846
mutual_info,7,3,boston,0.3076923076923077
f_test,7,3,boston,0.46153846153846156
pimp,7,3,boston,0.3846153846153846
shap,7,3,boston,0.0
pearson,7,3,boston,0.46153846153846156
spearman,7,3,boston,0.46153846153846156
kendall,7,3,boston,0.3846153846153846
pps,7,3,boston,0.0
gini,8,3,boston,0.3076923076923077
mutual_info,8,3,boston,0.5384615384615384
f_test,8,3,boston,0.5384615384615384
pimp,8,3,boston,0.3076923076923077
shap,8,3,boston,0.07692307692307687
pearson,8,3,boston,0.5384615384615384
spearman,8,3,boston,0.5384615384615384
kendall,8,3,boston,0.3076923076923077
pps,8,3,boston,0.0
gini,9,3,boston,0.23076923076923073
mutual_info,9,3,boston,0.5384615384615384
f_test,9,3,boston,0.5384615384615384
pimp,9,3,boston,0.23076923076923073
shap,9,3,boston,0.23076923076923073
pearson,9,3,boston,0.5384615384615384
spearman,9,3,boston,0.5384615384615384
kendall,9,3,boston,0.3846153846153846
pps,9,3,boston,0.0
gini,0,4,boston,0.46153846153846156
mutual_info,0,4,boston,0.6153846153846154
f_test,0,4,boston,0.5384615384615384
pimp,0,4,boston,0.46153846153846156
shap,0,4,boston,0.23076923076923073
pearson,0,4,boston,0.5384615384615384
spearman,0,4,boston,0.23076923076923073
kendall,0,4,boston,0.23076923076923073
pps,0,4,boston,0.0
gini,1,4,boston,0.0
mutual_info,1,4,boston,0.6153846153846154
f_test,1,4,boston,0.5384615384615384
pimp,1,4,boston,0.0
shap,1,4,boston,0.0
pearson,1,4,boston,0.5384615384615384
spearman,1,4,boston,0.0
kendall,1,4,boston,0.0
pps,1,4,boston,0.0
gini,2,4,boston,0.07692307692307687
mutual_info,2,4,boston,0.6153846153846154
f_test,2,4,boston,0.5384615384615384
pimp,2,4,boston,0.07692307692307687
shap,2,4,boston,0.07692307692307687
pearson,2,4,boston,0.5384615384615384
spearman,2,4,boston,0.07692307692307687
kendall,2,4,boston,0.07692307692307687
pps,2,4,boston,0.0
gini,3,4,boston,0.15384615384615385
mutual_info,3,4,boston,0.6153846153846154
f_test,3,4,boston,0.5384615384615384
pimp,3,4,boston,0.15384615384615385
shap,3,4,boston,0.15384615384615385
pearson,3,4,boston,0.5384615384615384
spearman,3,4,boston,0.0
kendall,3,4,boston,0.0
pps,3,4,boston,0.0
gini,4,4,boston,0.07692307692307687
mutual_info,4,4,boston,0.6153846153846154
f_test,4,4,boston,0.5384615384615384
pimp,4,4,boston,0.46153846153846156
shap,4,4,boston,0.46153846153846156
pearson,4,4,boston,0.5384615384615384
spearman,4,4,boston,0.07692307692307687
kendall,4,4,boston,0.07692307692307687
pps,4,4,boston,0.0
gini,5,4,boston,0.46153846153846156
mutual_info,5,4,boston,0.6153846153846154
f_test,5,4,boston,0.5384615384615384
pimp,5,4,boston,0.46153846153846156
shap,5,4,boston,0.5384615384615384
pearson,5,4,boston,0.5384615384615384
spearman,5,4,boston,0.3076923076923077
kendall,5,4,boston,0.23076923076923073
pps,5,4,boston,0.0
gini,6,4,boston,0.0
mutual_info,6,4,boston,0.6153846153846154
f_test,6,4,boston,0.5384615384615384
pimp,6,4,boston,0.0
shap,6,4,boston,0.0
pearson,6,4,boston,0.5384615384615384
spearman,6,4,boston,0.0
kendall,6,4,boston,0.0
pps,6,4,boston,0.0
gini,7,4,boston,0.3846153846153846
mutual_info,7,4,boston,0.6153846153846154
f_test,7,4,boston,0.5384615384615384
pimp,7,4,boston,0.3846153846153846
shap,7,4,boston,0.5384615384615384
pearson,7,4,boston,0.5384615384615384
spearman,7,4,boston,0.15384615384615385
kendall,7,4,boston,0.15384615384615385
pps,7,4,boston,0.0
gini,8,4,boston,0.07692307692307687
mutual_info,8,4,boston,0.6153846153846154
f_test,8,4,boston,0.5384615384615384
pimp,8,4,boston,0.07692307692307687
shap,8,4,boston,0.0
pearson,8,4,boston,0.5384615384615384
spearman,8,4,boston,0.0
kendall,8,4,boston,0.0
pps,8,4,boston,0.0
gini,9,4,boston,0.15384615384615385
mutual_info,9,4,boston,0.6153846153846154
f_test,9,4,boston,0.5384615384615384
pimp,9,4,boston,0.0
shap,9,4,boston,0.15384615384615385
pearson,9,4,boston,0.5384615384615384
spearman,9,4,boston,0.0
kendall,9,4,boston,0.0
pps,9,4,boston,0.0
gini,0,5,boston,0.3846153846153846
mutual_info,0,5,boston,0.23076923076923073
f_test,0,5,boston,0.07692307692307687
pimp,0,5,boston,0.6153846153846154
shap,0,5,boston,0.6153846153846154
pearson,0,5,boston,0.07692307692307687
spearman,0,5,boston,0.3076923076923077
kendall,0,5,boston,0.15384615384615385
pps,0,5,boston,0.0
gini,1,5,boston,0.6153846153846154
mutual_info,1,5,boston,0.15384615384615385
f_test,1,5,boston,0.0
pimp,1,5,boston,0.6153846153846154
shap,1,5,boston,0.6153846153846154
pearson,1,5,boston,0.0
spearman,1,5,boston,0.3076923076923077
kendall,1,5,boston,0.15384615384615385
pps,1,5,boston,0.0
gini,2,5,boston,0.46153846153846156
mutual_info,2,5,boston,0.23076923076923073
f_test,2,5,boston,0.07692307692307687
pimp,2,5,boston,0.5384615384615384
shap,2,5,boston,0.6153846153846154
pearson,2,5,boston,0.07692307692307687
spearman,2,5,boston,0.3076923076923077
kendall,2,5,boston,0.23076923076923073
pps,2,5,boston,0.0
gini,3,5,boston,0.46153846153846156
mutual_info,3,5,boston,0.23076923076923073
f_test,3,5,boston,0.0
pimp,3,5,boston,0.6153846153846154
shap,3,5,boston,0.6153846153846154
pearson,3,5,boston,0.0
spearman,3,5,boston,0.0
kendall,3,5,boston,0.0
pps,3,5,boston,0.0
gini,4,5,boston,0.3846153846153846
mutual_info,4,5,boston,0.0
f_test,4,5,boston,0.0
pimp,4,5,boston,0.3846153846153846
shap,4,5,boston,0.6153846153846154
pearson,4,5,boston,0.0
spearman,4,5,boston,0.0
kendall,4,5,boston,0.0
pps,4,5,boston,0.0
gini,5,5,boston,0.46153846153846156
mutual_info,5,5,boston,0.23076923076923073
f_test,5,5,boston,0.07692307692307687
pimp,5,5,boston,0.6153846153846154
shap,5,5,boston,0.6153846153846154
pearson,5,5,boston,0.07692307692307687
spearman,5,5,boston,0.3076923076923077
kendall,5,5,boston,0.23076923076923073
pps,5,5,boston,0.0
gini,6,5,boston,0.5384615384615384
mutual_info,6,5,boston,0.15384615384615385
f_test,6,5,boston,0.07692307692307687
pimp,6,5,boston,0.6153846153846154
shap,6,5,boston,0.6153846153846154
pearson,6,5,boston,0.07692307692307687
spearman,6,5,boston,0.3076923076923077
kendall,6,5,boston,0.23076923076923073
pps,6,5,boston,0.0
gini,7,5,boston,0.3076923076923077
mutual_info,7,5,boston,0.23076923076923073
f_test,7,5,boston,0.07692307692307687
pimp,7,5,boston,0.5384615384615384
shap,7,5,boston,0.6153846153846154
pearson,7,5,boston,0.07692307692307687
spearman,7,5,boston,0.3076923076923077
kendall,7,5,boston,0.23076923076923073
pps,7,5,boston,0.0
gini,8,5,boston,0.3076923076923077
mutual_info,8,5,boston,0.23076923076923073
f_test,8,5,boston,0.07692307692307687
pimp,8,5,boston,0.5384615384615384
shap,8,5,boston,0.6153846153846154
pearson,8,5,boston,0.07692307692307687
spearman,8,5,boston,0.3076923076923077
kendall,8,5,boston,0.15384615384615385
pps,8,5,boston,0.0
gini,9,5,boston,0.3846153846153846
mutual_info,9,5,boston,0.15384615384615385
f_test,9,5,boston,0.07692307692307687
pimp,9,5,boston,0.6153846153846154
shap,9,5,boston,0.6153846153846154
pearson,9,5,boston,0.07692307692307687
spearman,9,5,boston,0.3076923076923077
kendall,9,5,boston,0.15384615384615385
pps,9,5,boston,0.0
gini,0,0,boston,0.3846153846153846
mutual_info,0,0,boston,0.3076923076923077
f_test,0,0,boston,0.07692307692307687
pimp,0,0,boston,0.5384615384615384
shap,0,0,boston,0.5384615384615384
pearson,0,0,boston,0.07692307692307687
spearman,0,0,boston,0.23076923076923073
kendall,0,0,boston,0.23076923076923073
pps,0,0,boston,0.0
gini,1,0,boston,0.3846153846153846
mutual_info,1,0,boston,0.3076923076923077
f_test,1,0,boston,0.07692307692307687
pimp,1,0,boston,0.5384615384615384
shap,1,0,boston,0.5384615384615384
pearson,1,0,boston,0.07692307692307687
spearman,1,0,boston,0.23076923076923073
kendall,1,0,boston,0.23076923076923073
pps,1,0,boston,0.0
gini,2,0,boston,0.3076923076923077
mutual_info,2,0,boston,0.07692307692307687
f_test,2,0,boston,0.07692307692307687
pimp,2,0,boston,0.3076923076923077
shap,2,0,boston,0.23076923076923073
pearson,2,0,boston,0.07692307692307687
spearman,2,0,boston,0.07692307692307687
kendall,2,0,boston,0.07692307692307687
pps,2,0,boston,0.0
gini,3,0,boston,0.3846153846153846
mutual_info,3,0,boston,0.23076923076923073
f_test,3,0,boston,0.0
pimp,3,0,boston,0.3846153846153846
shap,3,0,boston,0.3846153846153846
pearson,3,0,boston,0.0
spearman,3,0,boston,0.23076923076923073
kendall,3,0,boston,0.23076923076923073
pps,3,0,boston,0.0
gini,4,0,boston,0.3076923076923077
mutual_info,4,0,boston,0.07692307692307687
f_test,4,0,boston,0.07692307692307687
pimp,4,0,boston,0.3076923076923077
shap,4,0,boston,0.46153846153846156
pearson,4,0,boston,0.07692307692307687
spearman,4,0,boston,0.07692307692307687
kendall,4,0,boston,0.07692307692307687
pps,4,0,boston,0.0
gini,5,0,boston,0.3076923076923077
mutual_info,5,0,boston,0.3076923076923077
f_test,5,0,boston,0.07692307692307687
pimp,5,0,boston,0.3076923076923077
shap,5,0,boston,0.46153846153846156
pearson,5,0,boston,0.07692307692307687
spearman,5,0,boston,0.23076923076923073
kendall,5,0,boston,0.23076923076923073
pps,5,0,boston,0.0
gini,6,0,boston,0.3076923076923077
mutual_info,6,0,boston,0.0
f_test,6,0,boston,0.0
pimp,6,0,boston,0.3076923076923077
shap,6,0,boston,0.0
pearson,6,0,boston,0.0
spearman,6,0,boston,0.0
kendall,6,0,boston,0.0
pps,6,0,boston,0.0
gini,7,0,boston,0.46153846153846156
mutual_info,7,0,boston,0.3076923076923077
f_test,7,0,boston,0.07692307692307687
pimp,7,0,boston,0.46153846153846156
shap,7,0,boston,0.46153846153846156
pearson,7,0,boston,0.07692307692307687
spearman,7,0,boston,0.23076923076923073
kendall,7,0,boston,0.23076923076923073
pps,7,0,boston,0.0
gini,8,0,boston,0.3846153846153846
mutual_info,8,0,boston,0.0
