imp_type,random_state,data_split,dataset,max_dropped
pps,3,3,wine,0.3076923076923077
gini,4,3,wine,0.7692307692307692
mutual_info,4,3,wine,0.7692307692307692
f_test,4,3,wine,0.6153846153846154
pimp,4,3,wine,0.5384615384615384
shap,4,3,wine,0.7692307692307692
pearson,4,3,wine,0.23076923076923073
spearman,4,3,wine,0.23076923076923073
kendall,4,3,wine,0.23076923076923073
pps,4,3,wine,0.3076923076923077
gini,5,3,wine,0.7692307692307692
mutual_info,5,3,wine,0.7692307692307692
f_test,5,3,wine,0.6153846153846154
pimp,5,3,wine,0.7692307692307692
shap,5,3,wine,0.7692307692307692
pearson,5,3,wine,0.23076923076923073
spearman,5,3,wine,0.23076923076923073
kendall,5,3,wine,0.23076923076923073
pps,5,3,wine,0.3076923076923077
gini,6,3,wine,0.46153846153846156
mutual_info,6,3,wine,0.3846153846153846
f_test,6,3,wine,0.3846153846153846
pimp,6,3,wine,0.0
shap,6,3,wine,0.3846153846153846
pearson,6,3,wine,0.0
spearman,6,3,wine,0.0
kendall,6,3,wine,0.0
pps,6,3,wine,0.3076923076923077
gini,7,3,wine,0.3846153846153846
mutual_info,7,3,wine,0.3846153846153846
f_test,7,3,wine,0.3846153846153846
pimp,7,3,wine,0.23076923076923073
shap,7,3,wine,0.6153846153846154
pearson,7,3,wine,0.07692307692307687
spearman,7,3,wine,0.07692307692307687
kendall,7,3,wine,0.0
pps,7,3,wine,0.3076923076923077
gini,8,3,wine,0.6923076923076923
mutual_info,8,3,wine,0.6923076923076923
f_test,8,3,wine,0.6153846153846154
pimp,8,3,wine,0.6923076923076923
shap,8,3,wine,0.6923076923076923
pearson,8,3,wine,0.23076923076923073
spearman,8,3,wine,0.23076923076923073
kendall,8,3,wine,0.23076923076923073
pps,8,3,wine,0.3076923076923077
gini,9,3,wine,0.6923076923076923
mutual_info,9,3,wine,0.6923076923076923
f_test,9,3,wine,0.6153846153846154
pimp,9,3,wine,0.6153846153846154
shap,9,3,wine,0.6153846153846154
pearson,9,3,wine,0.23076923076923073
spearman,9,3,wine,0.23076923076923073
kendall,9,3,wine,0.23076923076923073
pps,9,3,wine,0.3076923076923077
gini,0,4,wine,0.7692307692307692
mutual_info,0,4,wine,0.6153846153846154
f_test,0,4,wine,0.6923076923076923
pimp,0,4,wine,0.7692307692307692
shap,0,4,wine,0.7692307692307692
pearson,0,4,wine,0.15384615384615385
spearman,0,4,wine,0.07692307692307687
kendall,0,4,wine,0.0
pps,0,4,wine,0.23076923076923073
gini,1,4,wine,0.7692307692307692
mutual_info,1,4,wine,0.6153846153846154
f_test,1,4,wine,0.6923076923076923
