imp_type,pp_coef,random_state,data_split,dataset
mutual_info,0.6037886181173482,5,2,boston
f_test,0.5466328828085115,5,2,boston
pimp,0.6409485590748285,5,2,boston
shap,0.6459696758936411,5,2,boston
pearson,0.5466328828085113,5,2,boston
spearman,0.6037886181173481,5,2,boston
kendall,0.6037886181173483,5,2,boston
pps,0.1316743176850513,5,2,boston
gini,0.6747593924755272,6,2,boston
mutual_info,0.6046508595782396,6,2,boston
f_test,0.6046508595782393,6,2,boston
pimp,0.6747593924755271,6,2,boston
shap,0.6899302470677704,6,2,boston
pearson,0.6046508595782393,6,2,boston
spearman,0.6360920901067623,6,2,boston
kendall,0.636092090106762,6,2,boston
pps,0.1496561647406327,6,2,boston
gini,0.6441180479955072,7,2,boston
mutual_info,0.615331637036726,7,2,boston
f_test,0.5661375224055591,7,2,boston
pimp,0.644118047995507,7,2,boston
shap,0.6674966350871404,7,2,boston
pearson,0.566137522405559,7,2,boston
spearman,0.6153316370367262,7,2,boston
