imp_type,max_perc,random_state,data_split,dataset
mutual_info,0.013304354222222203,7,4,breast_cancer
f_test,0.013304354222222203,7,4,breast_cancer
pimp,0.0,7,4,breast_cancer
shap,0.013304354222222203,7,4,breast_cancer
pearson,0.013304354222222203,7,4,breast_cancer
spearman,0.013304354222222203,7,4,breast_cancer
kendall,0.013304354222222203,7,4,breast_cancer
pps,0.026667186584880653,7,4,breast_cancer
gini,0.013187382751271626,8,4,breast_cancer
mutual_info,0.0,8,4,breast_cancer
f_test,0.0,8,4,breast_cancer
pimp,0.0,8,4,breast_cancer
shap,0.013187382751271626,8,4,breast_cancer
pearson,0.0,8,4,breast_cancer
spearman,0.013187382751271626,8,4,breast_cancer
kendall,0.013187382751271626,8,4,breast_cancer
pps,0.0,8,4,breast_cancer
gini,0.04045289971460875,9,4,breast_cancer
mutual_info,0.026910636104941155,9,4,breast_cancer
f_test,0.026910636104941155,9,4,breast_cancer
pimp,0.026910636104941155,9,4,breast_cancer
shap,0.026910636104941155,9,4,breast_cancer
pearson,0.026910636104941155,9,4,breast_cancer
spearman,0.026910636104941155,9,4,breast_cancer
kendall,0.026910636104941155,9,4,breast_cancer
pps,0.0134276358588854,9,4,breast_cancer
gini,0.0,0,5,breast_cancer
mutual_info,0.0,0,5,breast_cancer
f_test,0.0,0,5,breast_cancer
pimp,-0.0008523541037599447,0,5,breast_cancer
shap,0.012379665645546156,0,5,breast_cancer
pearson,0.0,0,5,breast_cancer
spearman,0.0,0,5,breast_cancer
kendall,0.0,0,5,breast_cancer
pps,-0.0010954880284946844,0,5,breast_cancer
gini,0.040139396781248005,1,5,breast_cancer
mutual_info,0.027420277271176685,1,5,breast_cancer
f_test,0.040139396781248005,1,5,breast_cancer
pimp,0.03965295158075066,1,5,breast_cancer
shap,0.040139396781248005,1,5,breast_cancer
pearson,0.040139396781248005,1,5,breast_cancer
spearman,0.040139396781248005,1,5,breast_cancer
kendall,0.040139396781248005,1,5,breast_cancer
pps,0.03965295158075066,1,5,breast_cancer
gini,0.0,2,5,breast_cancer
mutual_info,0.0,2,5,breast_cancer
f_test,0.0,2,5,breast_cancer
pimp,0.011906202924147014,2,5,breast_cancer
shap,0.012379665645546156,2,5,breast_cancer
pearson,0.0,2,5,breast_cancer
spearman,0.0,2,5,breast_cancer
kendall,0.0,2,5,breast_cancer
pps,0.0,2,5,breast_cancer
gini,0.026110856619331324,3,5,breast_cancer
mutual_info,0.013563282076620498,3,5,breast_cancer
f_test,0.026110856619331324,3,5,breast_cancer
pimp,0.025630972189489176,3,5,breast_cancer
shap,0.026110856619331324,3,5,breast_cancer
pearson,0.026110856619331324,3,5,breast_cancer
spearman,0.013563282076620498,3,5,breast_cancer
kendall,0.013563282076620498,3,5,breast_cancer
pps,0.03888590767416478,3,5,breast_cancer
gini,0.026110856619331324,4,5,breast_cancer
mutual_info,0.013563282076620498,4,5,breast_cancer
f_test,0.013563282076620498,4,5,breast_cancer
pimp,0.013563282076620498,4,5,breast_cancer
shap,0.013563282076620498,4,5,breast_cancer
pearson,0.013563282076620498,4,5,breast_cancer
spearman,0.013563282076620498,4,5,breast_cancer
kendall,0.013563282076620498,4,5,breast_cancer
pps,-0.012476279407018676,4,5,breast_cancer
gini,0.026110856619331324,5,5,breast_cancer
mutual_info,0.013563282076620498,5,5,breast_cancer
f_test,0.013563282076620498,5,5,breast_cancer
pimp,0.013563282076620498,5,5,breast_cancer
shap,0.013563282076620498,5,5,breast_cancer
pearson,0.013563282076620498,5,5,breast_cancer
spearman,0.013563282076620498,5,5,breast_cancer
kendall,0.013563282076620498,5,5,breast_cancer
pps,0.013563282076620498,5,5,breast_cancer
gini,0.012379665645546156,6,5,breast_cancer
mutual_info,0.0,6,5,breast_cancer
f_test,0.0,6,5,breast_cancer
pimp,-0.0008523541037599447,6,5,breast_cancer
shap,0.0,6,5,breast_cancer
pearson,0.0,6,5,breast_cancer
spearman,0.0,6,5,breast_cancer
kendall,0.0,6,5,breast_cancer
pps,0.011906202924147014,6,5,breast_cancer
gini,0.0,7,5,breast_cancer
mutual_info,0.0,7,5,breast_cancer
f_test,0.0,7,5,breast_cancer
pimp,0.0,7,5,breast_cancer
shap,0.0,7,5,breast_cancer
pearson,0.0,7,5,breast_cancer
spearman,0.0,7,5,breast_cancer
kendall,0.0,7,5,breast_cancer
pps,0.0,7,5,breast_cancer
gini,0.039074642179915964,8,5,breast_cancer
mutual_info,0.02636854279105627,8,5,breast_cancer
f_test,0.02636854279105627,8,5,breast_cancer
pimp,0.02636854279105627,8,5,breast_cancer
shap,0.02636854279105627,8,5,breast_cancer
pearson,0.02636854279105627,8,5,breast_cancer
spearman,0.02636854279105627,8,5,breast_cancer
kendall,0.02636854279105627,8,5,breast_cancer
