dataset,imp_type,random_state,data_split,fi_order,fi_selected,timings
regr_features_10_samples_100_seed_0,f_test,0,9,"[0, 1, 6, 5, 4, 3, 8, 7, 9, 2]","[0, 1]","[0.00183676 0.00153355 0.0015842  0.00147957 0.00170037 0.00152618
 0.00156034 0.00142969 0.00130916 0.00131091]"
regr_features_10_samples_100_seed_0,pearson,0,9,"[0, 1, 6, 5, 4, 3, 8, 7, 9, 2]","[0, 1]","[0.00192152 0.00162358 0.0016063  0.00161998 0.0014412  0.00139579
 0.00142039 0.00133112 0.0014844  0.00150737]"
regr_features_10_samples_100_seed_0,spearman,0,9,"[0, 1, 4, 6, 5, 9, 8, 7, 2, 3]","[0, 1]","[0.00244591 0.00187296 0.00177262 0.00173037 0.00198943 0.00201085
 0.00199741 0.00179174 0.00203616 0.00202441]"
regr_features_10_samples_100_seed_0,kendall,0,9,"[0, 1, 4, 6, 5, 9, 8, 2, 3, 7]","[0, 1]","[0.01478616 0.01460851 0.01463295 0.01455172 0.01457036 0.01456189
 0.01453236 0.01456262 0.01573561 0.01494813]"
regr_features_10_samples_100_seed_0,pps,0,9,"[9, 3, 2, 8, 6, 4, 5, 7, 1, 0]","[9, 3]","[0.08762412 0.08248959 0.08954603 0.08187225 0.08365034 0.08210004
 0.08247807 0.08213837 0.08189397 0.08906851]"
regr_features_10_samples_1000_seed_0,mutual_info,0,0,"[1, 2, 8, 5, 9, 0, 3, 4, 6, 7]","[1, 2]","[0.03598033 0.03326623 0.03191654 0.030312   0.0299256  0.03004441
 0.03021265 0.02979504 0.03028106 0.03026116]"
regr_features_10_samples_1000_seed_0,f_test,0,0,"[1, 0, 7, 5, 4, 9, 3, 6, 2, 8]","[1, 0]","[0.00347661 0.00206748 0.00140597 0.00144686 0.00146563 0.0012897
 0.00132251 0.00135737 0.00144673 0.00149351]"
regr_features_10_samples_1000_seed_0,pearson,0,0,"[1, 0, 7, 5, 4, 9, 3, 6, 2, 8]","[1, 0]","[0.00214891 0.00181902 0.00169184 0.00150838 0.00139352 0.0014477
 0.00179937 0.00166138 0.00155493 0.00149402]"
regr_features_10_samples_1000_seed_0,spearman,0,0,"[1, 0, 5, 4, 9, 7, 3, 6, 8, 2]","[1, 0]","[0.00265486 0.00245965 0.00280794 0.00251699 0.00238747 0.00246138
 0.0024391  0.0023869  0.00265425 0.0027876 ]"
regr_features_10_samples_1000_seed_0,kendall,0,0,"[1, 0, 5, 4, 7, 9, 3, 6, 8, 2]","[1, 0]","[0.02004705 0.0201728  0.01996092 0.01990534 0.02081658 0.02045253
 0.02022476 0.01999934 0.01986401 0.01985245]"
regr_features_10_samples_1000_seed_0,pps,0,0,"[4, 2, 9, 7, 3, 8, 5, 6, 0, 1]","[4, 2]","[0.11127737 0.11336628 0.10769647 0.10680459 0.10767943 0.10676899
 0.10717984 0.10795608 0.10932818 0.10729494]"
regr_features_10_samples_1000_seed_0,mutual_info,0,1,"[1, 2, 8, 9, 4, 3, 6, 7, 0, 5]","[1, 2]","[0.03516464 0.03388403 0.03069283 0.03028478 0.03604036 0.03304608
 0.03059834 0.03014553 0.03022704 0.03055082]"
regr_features_10_samples_1000_seed_0,f_test,0,1,"[1, 0, 5, 3, 4, 6, 9, 7, 2, 8]","[1, 0]","[0.00178576 0.00163764 0.00150435 0.00137655 0.00148043 0.00147904
 0.00138815 0.00147059 0.00130862 0.00137106]"
regr_features_10_samples_1000_seed_0,pearson,0,1,"[1, 0, 5, 3, 4, 6, 9, 7, 2, 8]","[1, 0]","[0.00196727 0.00166154 0.0016483  0.00169591 0.00160448 0.00155276
 0.00165469 0.00171034 0.00186825 0.00183191]"
regr_features_10_samples_1000_seed_0,spearman,0,1,"[1, 0, 5, 3, 9, 4, 7, 6, 8, 2]","[1, 0]","[0.0029216  0.00246733 0.00266751 0.00266187 0.00252513 0.00254625
 0.00275396 0.00248017 0.00244415 0.00272595]"
