dataset,imp_type,random_state,data_split,fi_order,fi_selected,timings
classif_features_10_samples_100_seed_0,kendall,0,6,"[1, 4, 0, 2, 3, 6, 5, 7, 9, 8]","[1, 4]","[0.01491962 0.01465877 0.01451665 0.01448318 0.01441847 0.01440876
 0.01450873 0.01440013 0.01551274 0.0145429 ]"
classif_features_10_samples_100_seed_0,pps,0,6,"[9, 7, 6, 5, 8, 4, 0, 2, 3, 1]","[9, 7]","[0.09667738 0.08665962 0.1001164  0.08856308 0.08687673 0.08715549
 0.0886719  0.08650557 0.0896919  0.09197093]"
classif_features_10_samples_100_seed_0,mutual_info,0,7,"[1, 5, 7, 4, 8, 9, 6, 2, 0, 3]","[1, 5]","[0.02244865 0.0201107  0.02010173 0.01739592 0.01836758 0.01637524
 0.01531748 0.01468149 0.01445987 0.01513289]"
classif_features_10_samples_100_seed_0,f_test,0,7,"[1, 4, 7, 2, 6, 0, 5, 8, 9, 3]","[1, 4]","[0.00146555 0.00137747 0.00130987 0.00123236 0.0012903  0.00127138
 0.00136705 0.00158553 0.0016526  0.00163116]"
classif_features_10_samples_100_seed_0,pearson,0,7,"[1, 4, 7, 2, 6, 0, 5, 8, 9, 3]","[1, 4]","[0.00152954 0.00133385 0.0013666  0.001326   0.00132169 0.00132484
 0.00123531 0.00120963 0.00123266 0.00138705]"
classif_features_10_samples_100_seed_0,spearman,0,7,"[1, 4, 2, 6, 7, 0, 8, 3, 9, 5]","[1, 4]","[0.00267003 0.00218942 0.00195339 0.00221447 0.00227921 0.00239732
 0.00225157 0.00207247 0.00247328 0.00214196]"
classif_features_10_samples_100_seed_0,kendall,0,7,"[1, 4, 2, 6, 7, 0, 8, 3, 9, 5]","[1, 4]","[0.01554855 0.01494228 0.01476546 0.01507731 0.01467629 0.01450913
 0.0144726  0.01561261 0.0148238  0.01483481]"
classif_features_10_samples_100_seed_0,pps,0,7,"[0, 6, 8, 2, 3, 4, 5, 7, 9, 1]","[0, 6]","[0.10947345 0.10071062 0.09043542 0.08928248 0.09930698 0.10032573
 0.10152037 0.10048578 0.09779485 0.09043665]"
classif_features_10_samples_100_seed_0,mutual_info,0,8,"[1, 5, 4, 6, 2, 0, 7, 3, 8, 9]","[1, 5]","[0.0221964  0.01636073 0.02042863 0.0171525  0.01748916 0.01956494
 0.01647175 0.01496957 0.01509933 0.01502388]"
classif_features_10_samples_100_seed_0,f_test,0,8,"[1, 4, 7, 9, 6, 2, 5, 8, 0, 3]","[1, 4]","[0.00189469 0.00158202 0.00156964 0.00145048 0.0014957  0.00144304
 0.00137161 0.00167178 0.00158983 0.00137014]"
